module,type,name,res_id,src,value,comments
account,model_terms,"ir.ui.view,arch_db",account.view_account_form,-> Reconcile,-> Conciliar,
account,model_terms,"ir.ui.view,arch_db",account.view_move_line_form,-> View partially reconciled entries,-> Ver entradas parcialmente reconciliadas,
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,15 Días,
account,model,"account.payment.term,name",account.account_payment_term_2months,2 Months,2 Meses,
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,30 Días Netos,
account,model,"account.payment.term,name",account.account_payment_term_advance,30% Advance End of Following Month,30% Adelanto A Fin del Mes Siguiente,
account,model,"account.payment.term,name",account.account_payment_term_45days,45 Days,45 Días,
account,code,addons/account/models/account.py,693,: Refund,Notas de Crédito,
account,model,"mail.template,body_html",account.mail_template_data_payment_receipt,"<?xml version=""1.0""?>
<div style=""margin: 0px; padding: 0px;"">
    <p style=""margin: 0px; padding: 0px; font-size: 13px;"">
        Dear ${object.partner_id.name}<br/><br/>
        Thank you for your payment.
        Here is your payment receipt <strong>${(object.name or '').replace('/','-')}</strong> amounting
        to <strong>${format_amount(object.amount, object.currency_id)}</strong> from ${object.company_id.name}.
        <br/><br/>
        Do not hesitate to contact us if you have any question.
        <br/><br/>
        Best regards,<br/>
        % if user and user.signature:
        ${user.signature | safe}
        % endif
    </p>
</div>
","<?xml version=""1.0""?>
<data>Estimado ${object.partner_id.name},</p>
<p>Gracias por tu pago.<br/> Aquí está tu recibo de pago <strong>${(object.name or '').replace('/','-')}</strong> por un monto de <strong>${format_amount(object.amount, object.currency_id)}</strong> efectuado por ${object.company_id.name}.</p>
<p>Si tienes alguna pregunta, no dudes en contactarnos.</p>
<p>Cordiales saludos,
% if user and user.signature:
${user.signature | safe}
% endif
</p>
</data>
",
account,model,"mail.template,body_html",account.email_template_edi_invoice,"<div style=""margin: 0px; padding: 0px;"">
    <p style=""margin: 0px; padding: 0px; font-size: 13px;"">
        Dear ${object.partner_id.name}
        % if object.partner_id.parent_id:
            (${object.partner_id.parent_id.name})
        % endif
        <br/><br/>
        Here is your 
        % if object.number:
            invoice <strong>${object.number}</strong>
        % else:
            invoice
        %endif
        % if object.origin:
            (with reference: ${object.origin})
        % endif
        amounting in <strong>${format_amount(object.amount_total, object.currency_id)}</strong>
        from ${object.company_id.name}.
        % if object.state=='paid':
            This invoice is already paid.
        % else:
            Please remit payment at your earliest convenience.
        % endif
        <br/><br/>
        Do not hesitate to contact us if you have any question.
    </p>
</div>
            ","<div style=""margin: 0px; padding: 0px;"">
    <p style=""margin: 0px; padding: 0px; font-size: 13px;"">
        Estimado ${object.partner_id.name}
        % if object.partner_id.parent_id:
            (${object.partner_id.parent_id.name})
        % endif
        <br/><br/>
        Aquí está 
        % if object.number:
            adjunto su factura <strong>${object.number}</strong>
        % else:
            adjunto su factura
        %endif
        % if object.origin:
            (con referencia: ${object.origin})
        % endif
        por un monto de  <strong>${format_amount(object.amount_total, object.currency_id)}</strong>
        from ${object.company_id.name}.
        % if object.state=='paid':
            Esta factura ya está pagada.
        % else:
            Por favor remita el pago a su más pronta conveniencia.
        % endif
        <br/><br/>
        Si tienes alguna pregunta, no dudes en contactarnos.
    </p>
</div>
            ",
account,model_terms,"ir.ui.view,arch_db",account.portal_my_home_menu_invoice,<em>Draft Invoice</em>,<em>Factura Borrador</em>,
account,model_terms,"ir.ui.view,arch_db",account.account_move_line_view_kanban,"<i class=""fa fa-clock-o"" aria-label=""Date"" role=""img"" title=""Date""/>","<i class=""fa fa-clock-o"" aria-label=""Date"" role=""img"" title=""Date""/>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_move_kanban,"<i class=""fa fa-clock-o"" aria-label=""Date"" role=""img"" title=""Date""/>","<i class=""fa fa-clock-o"" aria-label=""Date"" role=""img"" title=""Date""/>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_payment_kanban,"<i class=""fa fa-clock-o"" role=""img"" aria-label=""Date"" title=""Date""/>","<i class=""fa fa-clock-o"" role=""img"" aria-label=""Date"" title=""Date""/>",
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<i class=""fa fa-download""/> Download","<i class=""fa fa-download""/> Descargar",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<i class=""fa fa-ellipsis-v"" aria-label=""Selection"" role=""img"" title=""Selection""/>","<i class=""fa fa-ellipsis-v"" aria-label=""Selection"" role=""img"" title=""Selection""/>",
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<i class=""fa fa-fw fa-comments""/><b>Send message</b>","<i class=""fa fa-fw fa-comments""/><b>Enviar mensaje</b>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_journal_form,"<i class=""fa fa-fw o_button_icon fa-arrow-right""/> Configure Email Servers","<i class=""fa fa-fw o_button_icon fa-arrow-right""/> Configurar servidores de correo",
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<i class=""fa fa-print""/> Print","<i class=""fa fa-print""/> Imprimir",
account,code,addons/account/models/account_invoice.py,724,<p>You can control the invoice from your vendor based on what you purchased or received.</p>,Puede controlar su factura de proveedor en base a lo comprado o recibido.,
account,model_terms,"ir.ui.view,arch_db",account.account_invoice_send_wizard_form,"<span attrs=""{'invisible': [('composition_mode', '!=', 'mass_mail')]}"">
                                        <strong>Email mass mailing</strong> on
                                        <span>the selected records</span>
                                    </span>
                                    <span>Followers of the document and</span>","<span attrs=""{'invisible': [('composition_mode', '!=', 'mass_mail')]}"">
                                        <strong>Correo electrónico masivo</strong> en
                                        <span>los registros seleccionados</span>
                                    </span>
                                    <span>Seguidores del documento y</span>",
account,model_terms,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""badge badge-pill badge-info""><i class=""fa fa-fw fa-clock-o"" aria-label=""Opened"" title=""Opened"" role=""img""/><span class=""d-none d-md-inline""> Waiting for Payment</span></span>","<span class=""badge badge-pill badge-info""><i class=""fa fa-fw fa-clock-o"" aria-label=""Opened"" title=""Opened"" role=""img""/><span class=""d-none d-md-inline""> Esperando Pago</span></span>",
account,model_terms,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""badge badge-pill badge-success""><i class=""fa fa-fw fa-check"" aria-label=""Paid"" title=""Paid"" role=""img""/><span class=""d-none d-md-inline""> Paid</span></span>","<span class=""badge badge-pill badge-success""><i class=""fa fa-fw fa-check"" aria-label=""Paid"" title=""Paid"" role=""img""/><span class=""d-none d-md-inline""> Pagado</span></span>",
account,model_terms,"ir.ui.view,arch_db",account.portal_my_invoices,"<span class=""badge badge-pill badge-warning""><i class=""fa fa-fw fa-remove"" aria-label=""Cancelled"" title=""Cancelled"" role=""img""/><span class=""d-none d-md-inline""> Cancelled</span></span>","<span class=""badge badge-pill badge-warning""><i class=""fa fa-fw fa-remove"" aria-label=""Cancelled"" title=""Cancelled"" role=""img""/><span class=""d-none d-md-inline""> Cancelado</span></span>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>","<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific.""/>","<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific.""/>",
account,model_terms,"ir.ui.view,arch_db",account.invoice_supplier_form,"<span class=""o_form_label"" attrs=""{'invisible': ['|',('state','!=','draft'), ('type','!=','in_invoice')]}"">Draft Bill</span>
                        <span class=""o_form_label"" attrs=""{'invisible': [('sequence_number_next_prefix','=',False)]}"">- First Number:</span>
                        <span class=""o_form_label"" attrs=""{'invisible': ['|',('state','!=','draft'), ('type','!=','in_refund')]}"">Draft Credit Note</span>
                        <span class=""o_form_label"" attrs=""{'invisible': ['|',('state', '=', 'draft'), ('type','!=','in_invoice')]}"">Bill </span>
                        <span class=""o_form_label"" attrs=""{'invisible': ['|',('state', '=', 'draft'), ('type','!=','in_refund')]}"">Credit Note </span>","<span class=""o_form_label"" attrs=""{'invisible': ['|',('state','!=','draft'), ('type','!=','in_invoice')]}"">Factura borrador</span>
                        <span class=""o_form_label"" attrs=""{'invisible': [('sequence_number_next_prefix','=',False)]}"">- Primer Número:</span>
                        <span class=""o_form_label"" attrs=""{'invisible': ['|',('state','!=','draft'), ('type','!=','in_refund')]}"">Nota de Crédito Borrador</span>
                        <span class=""o_form_label"" attrs=""{'invisible': ['|',('state', '=', 'draft'), ('type','!=','in_invoice')]}"">Factura </span>
                        <span class=""o_form_label"" attrs=""{'invisible': ['|',('state', '=', 'draft'), ('type','!=','in_refund')]}"">Nota de Crédito </span>",
account,model_terms,"ir.ui.view,arch_db",account.invoice_form,"<span class=""o_form_label"" attrs=""{'invisible': ['|',('state','=','draft'), ('type','!=','out_refund')]}"">Credit Note</span>","<span class=""o_form_label"" attrs=""{'invisible': ['|',('state','=','draft'), ('type','!=','out_refund')]}"">Nota de Crédito</span>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_reconcile_model_form,"<span class=""o_form_label"" attrs=""{'invisible': [('match_amount', '!=', 'between')]}"">and</span>","<span class=""o_form_label"" attrs=""{'invisible': [('match_amount', '!=', 'between')]}"">y</span>",
account,model_terms,"ir.ui.view,arch_db",account.validate_account_move_view,"<span class=""o_form_label"">All selected journal entries will be validated and posted. You won't be able to modify them afterwards.</span>","<span class=""o_form_label"">Se validarán y publicarán todas las entradas de diario seleccionadas. No podrá modificarlas a posteriori.</span>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Default Taxes</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",Impuestos por defecto,
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Fiscal Localization</span>
                                        <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",Posición Fiscal,
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Main Currency</span>
                                    <span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>","<span class=""o_form_label"">Moneda Principal</span>
<span class=""fa fa-lg fa-building-o"" title=""Values set here are company-specific."" aria-label=""Values set here are company-specific."" groups=""base.group_multi_company"" role=""img""/>",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"<span class=""o_form_label"">Rounding Method</span>","<span class=""o_form_label"">Método de Redondeo</span>",
account,model_terms,"ir.ui.view,arch_db",account.view_payment_term_line_form,"<span class=""o_form_label"">of the month</span>","<span class=""o_form_label"">del mes</span>",
account,model_terms,"ir.ui.view,arch_db",account.partner_view_buttons,"<span class=""o_stat_text"">Invoiced</span>","<span class=""o_stat_text"">Facturado</span>",
account,model_terms,"ir.ui.view,arch_db",account.setup_bank_account_wizard,"<span class=""text-muted"">Only journals not yet linked to a bank account are proposed</span>","<span class=""text-muted"">Sólo se proponen diarios que aún no estén vinculados a una cuenta bancaria</span>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<span groups=""account.group_show_line_subtotals_tax_excluded"">Amount</span>
                                    <span groups=""account.group_show_line_subtotals_tax_included"">Total Price</span>","<span groups=""account.group_show_line_subtotals_tax_excluded"">Importe</span>
                                    <span groups=""account.group_show_line_subtotals_tax_included"">Precio Total</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span name=""button_import_placeholder""/> Statements","<span name=""button_import_placeholder""/>Extractos",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span role=""separator"">New</span>","<span role=""separator"">Nuevo</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span role=""separator"">Reconciliation</span>","<span role=""separator"">Conciliación</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span role=""separator"">View</span>","<span role=""separator"">Ver</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Balance in Odoo"">Balance in General Ledger</span>","<span title=""Balance in Odoo"">Balance en Libro Mayor</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Latest Statement"">Latest Statement</span>","<span title=""Latest Statement"">Último extracto</span>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_position_form,<span> From </span>,<span> De </span>,
account,model_terms,"ir.ui.view,arch_db",account.view_account_position_form,<span> To </span>,<span> Para </span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Amount Paid</span>,<span>Cantidad Pagada</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Balance</span>,<span>Balance</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Description</span>,<span>Descripción</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Disc.(%)</span>,<span>Desc.(%)</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Import Bills</span>,<span>Importar Facturas</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Invoice Date</span>,<span>Fecha de Factura</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Invoice Number</span>,<span>Núm. Factura</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Journal Entries</span>,<span>Apuntes Contables</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Bill</span>,<span>Nueva factura</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Invoice</span>,<span>Nueva factura</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New</span>,<span>Nuevo</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Operations</span>,<span>Operaciones</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Original Amount</span>,<span>Importe Original</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Quantity</span>,<span>Cantidad</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Reporting</span>,<span>Reportería</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Source Document</span>,<span>Documento Origen</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Taxes</span>,<span>Impuestos</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Unit Price</span>,<span>Precio Unitario</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>View</span>,<span>Ver</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<strong class=""mr16"">Subtotal</strong>","<strong class=""mr16"">Subtotal</strong>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<strong class=""text-center"">Scan me with your banking app.</strong><br/><br/>","<strong class=""text-center"">Escanéame con tu aplicación bancaria.</strong><br/><br/>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<strong class=""text-center"">The SEPA QR Code informations are not set correctly.</strong><br/>","<strong class=""text-center"">Las informaciones del código QR SEPA no están configuradas correctamente..</strong><br/>",
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<strong class=""text-muted"">Your Contact</strong>","<strong class=""text-muted"">Contacto</strong>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document_with_payments,<strong>Amount Due</strong>,<strong>Importe vencido</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Company:</strong>,<strong>Compañía:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Customer Code:</strong>,<strong>Código de cliente:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Customer: </strong>,<strong>Cliente: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Description:</strong>,<strong>Descripción:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Due Date:</strong>,<strong>Fecha de vencimiento:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Entries Sorted By:</strong>,<strong>Apuntes ordenados por:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.setup_financial_year_opening_form,<strong>Fiscal Year End</strong>,<strong>Fin de Año Fiscal</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Invoice Date:</strong>,<strong>Fecha factura:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Journal:</strong>,<strong>Diarios:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Memo: </strong>,<strong>Memo: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Payment Amount: </strong>,<strong>Monto Pagado: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Payment Date: </strong>,<strong>Fecha de Pago: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Payment Method: </strong>,<strong>Método de Pago: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Reference:</strong>,<strong>Referencia:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Source:</strong>,<strong>Fuente:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Subtotal</strong>,<strong>Subtotal</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Target Moves:</strong>,<strong>Movimientos señalados:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Total</strong>,<strong>Total</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Total</strong>,<strong>Total</strong>,
account,model_terms,"ir.ui.view,arch_db",account.view_account_account_kanban,<strong>Type: </strong>,<strong>Tipo: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Vendor: </strong>,<strong>Proveedor: </strong>,
account,model_terms,"ir.actions.act_window,help",account.action_view_bank_statement_tree,"A Cash Register allows you to manage cash entries in your cash
                journals. This feature provides an easy way to follow up cash
                payments on a daily basis. You can enter the coins that are in
                your cash box, and then post entries when money comes in or
                goes out of the cash box.","Un Registro de contado le permite gestionar entradas de dinero en sus diarios de contado. Esta caracter&#237;stica proporciona una manera f&#225;cil de comprobar los pagos al contado a diario. Puede introducir las monedas que hay en su caja y, posteriormente, anotar las entradas y salidas de la misma.",
account,code,addons/account/models/account_invoice.py,1950,A Payment Term should have only one line of type Balance.,Un plazo de pago debe tener sólo una línea de tipo Saldo.,
account,code,addons/account/models/account.py,860,A bank account can belong to only one journal.,Una cuenta bancaria sólo puede pertenecer a un diario.,
account,model_terms,"ir.actions.act_window,help",account.action_bank_statement_tree,"A bank statement is a summary of all financial transactions
                occurring over a given period of time on a bank account. You
                should receive this periodicaly from your bank.",Un extracto bancario es un resúmen de todas las transacciones financieras en una cuenta bancaria durante un período dado de tiempo. Debería recibirlo de su banco periódicamente.,
account,model_terms,"ir.actions.act_window,help",account.action_bank_statement_line,A bank statement line is a financial transaction on a bank account,Una línea de extracto bancario es una transacción financiera de una cuenta bancaria.,
account,model_terms,"ir.actions.act_window,help",account.action_move_journal_line,"A journal entry consists of several journal items, each of
                which is either a debit or a credit transaction.","Un asiento contable está compuesto de entradas de diario, cada una de las cuales es una transacción de débito o crédito.",
account,model_terms,"ir.actions.act_window,help",account.action_account_journal_form,"A journal is used to record transactions of all accounting data
                related to the day-to-day business.",Un diario se usa para anotar transacciones de los datos contables asociados a los negocios diarios.,
account,code,addons/account/models/account_move.py,324,A payment journal entry generated in a journal configured to post entries only when payments are reconciled with a bank statement cannot be manually posted. Those will be posted automatically after performing the bank reconciliation.,Entradas de diario no se pueden contabilizar manualmente cuando se generan en un diario que esta configurado para contabilizar entradas sólo cuando los pagos se reconcilian con un extracto bancario. Aquellos serán contabilizados automáticamente después de realizar la conciliación bancaria.,
account,code,addons/account/models/reconciliation_widget.py,713,A reconciliation must involve at least 2 move lines.,"Una conciliación debe incluir, al menos, 2 movimientos.",
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"A rounding per line is advised if your prices are tax-included. That way, the sum of line subtotals equals the total with taxes.","Se aconseja un redondeo por línea si sus precios están incluidos en el impuesto. De esta manera, la suma de subtotales de las línea es igual al total con impuestos.",
account,code,addons/account/models/account_bank_statement.py,539,A selected move line was already reconciled.,Alguna de las líneas a mover ya fue conciliada.,
account,code,addons/account/models/account_bank_statement.py,542,A selected move line was already reconciled.,Alguna de las líneas a mover ya fue conciliada.,
account,code,addons/account/models/account_bank_statement.py,556,A selected statement line was already reconciled with an account move.,Una línea del estado de cuenta ya se encuentra conciliada con un movimiento contable.,
account,sql_constraint,account.fiscal.position.tax,0,A tax fiscal position could be defined only one time on same taxes.,Una posición fiscal podría ser definida una única vez en los mismos impuestos,
account,model,"res.groups,name",account.group_warning_account,A warning can be set on a partner (Account),Una advertencia puede ser configurada en una ficha de entidad(Cuenta),
account,model,"ir.model.fields,field_description",account.field_account_invoice__access_warning,Access warning,Alerta de acceso,
account,code,addons/account/static/src/js/reconciliation/reconciliation_renderer.js,563,Account,Cuenta,openerp-web
account,code,addons/account/static/src/js/reconciliation/reconciliation_renderer.js,565,Account,Cuenta,openerp-web
account,code,addons/account/static/src/xml/account_reconciliation.xml,181,Account,Account,openerp-web
account,code,addons/account/static/src/xml/account_reconciliation.xml,286,Account,Account,openerp-web
account,code,addons/account/static/src/xml/account_reconciliation.xml,311,Account,Account,openerp-web
account,model,"ir.model,name",account.model_account_account,Account,Cuenta,
account,model,"ir.model.fields,field_description",account.field_account_cash_rounding__account_id,Account,Cuenta,
account,model,"ir.model.fields,field_description",account.field_account_invoice__account_id,Account,Cuenta,
account,model,"ir.model.fields,field_description",account.field_account_invoice_line__account_id,Account,Cuenta,
account,model,"ir.model.fields,field_description",account.field_account_move__dummy_account_id,Account,Cuenta,
account,model,"ir.model.fields,field_description",account.field_account_move_line__account_id,Account,Cuenta,
account,model,"ir.model.fields,field_description",account.field_account_reconcile_model__account_id,Account,Cuenta,
account,model,"ir.model.fields,field_description",account.field_account_reconcile_model_template__account_id,Account,Cuenta,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,Account,Cuenta,
account,model_terms,"ir.ui.view,arch_db",account.view_account_form,Account,Cuenta,
account,model_terms,"ir.ui.view,arch_db",account.view_account_move_line_filter,Account,Cuenta,
account,model_terms,"ir.ui.view,arch_db",account.view_account_reconcile_model_form,Account,Cuenta,
account,model_terms,"ir.ui.view,arch_db",account.view_account_search,Account,Cuenta,
account,code,addons/account/models/account_move.py,912,Account %s (%s) does not allow reconciliation. First change the configuration of this account to allow it.,Cuenta %s (%s) no permite conciliación. Primero cambia la configuración de esta cuenta para permitirlo. ,
account,model,"ir.model,name",account.model_account_cash_rounding,Account Cash Rounding,Redondeo para cuenta de efectivo,
account,model,"ir.model,name",account.model_account_chart_template,Account Chart Template,Plantilla de Plan de Cuentas,
account,model,"ir.model,name",account.model_account_common_report,Account Common Report,Contabilidad. Informe común,
account,model,"ir.model.fields,field_description",account.field_account_account__currency_id,Account Currency,Cuenta de la moneda,
account,model,"ir.model.fields,field_description",account.field_account_account_template__currency_id,Account Currency,Cuenta de la moneda,
account,model,"ir.model.fields,field_description",account.field_account_fiscal_position_account_template__account_dest_id,Account Destination,Cuenta destino,
account,model_terms,"ir.ui.view,arch_db",account.view_move_form,Account Entry,Entrada contable,
account,model,"ir.model,name",account.model_account_group,Account Group,Grupo de cuenta,
account,model_terms,"ir.ui.view,arch_db",account.view_account_group_form,Account Group,Grupo de cuenta,
account,model_terms,"ir.ui.view,arch_db",account.view_account_group_tree,Account Group,Grupo de cuenta,
account,model,"ir.actions.act_window,name",account.action_account_group_tree,Account Groups,Grupos de cuentas,
account,model,"ir.model.fields,field_description",account.field_account_journal__company_partner_id,Account Holder,Titular,
account,model,"ir.model.fields,field_description",account.field_account_setup_bank_manual_config__partner_id,Account Holder,Titular,
account,model,"ir.model.fields,field_description",account.field_account_setup_bank_manual_config__acc_holder_name,Account Holder Name,Nombre del titular de la cuenta,
account,model,"ir.model,name",account.model_account_invoice_send,Account Invoice Send,Enviar Factura,
account,model,"ir.model.fields,field_description",account.field_account_setup_bank_manual_config__journal_id,Account Journal,Diario de contabilidad,
account,model,"ir.model.fields,field_description",account.field_res_partner_bank__journal_id,Account Journal,Diario de contabilidad,
account,model_terms,"ir.ui.view,arch_db",account.view_account_bank_journal_tree,Account Journal,Diario de contabilidad,
account,model_terms,"ir.ui.view,arch_db",account.view_account_journal_form,Account Journal,Diario de contabilidad,
account,model_terms,"ir.ui.view,arch_db",account.view_account_journal_tree,Account Journal,Diario de contabilidad,
